Generation,mutation_op
0,remove_edges_4
1,add_edges_5
2,add_nodes_4
3,add_edges_5
4,add_edges_5
5,add_nodes_1
6,add_edges_2
7,add_edges_5
8,add_edges_3
9,remove_edges_4
10,add_edges_4
11,add_edges_4
12,add_edges_1
13,add_edges_5
14,add_edges_5
15,remove_edges_3
16,add_edges_5
17,add_nodes_4
18,add_nodes_2
19,add_nodes_5
20,add_nodes_1
21,add_edges_5
22,add_edges_5
23,add_edges_5
24,add_edges_4
25,remove_edges_4
26,add_edges_5
27,add_nodes_1
28,add_edges_3
29,add_edges_3
30,add_nodes_3
31,add_nodes_5
32,add_nodes_4
33,remove_edges_3
34,add_nodes_4
35,add_edges_2
36,add_edges_1
37,remove_edges_3
38,add_edges_5
39,add_nodes_4
40,add_nodes_5
41,add_edges_2
42,add_nodes_4
43,add_nodes_1
44,add_edges_4
45,add_edges_5
46,add_edges_3
47,remove_edges_2
48,add_edges_5
49,add_edges_2
50,add_edges_2
51,add_edges_5
52,add_nodes_3
53,add_nodes_4
54,add_edges_4
55,add_edges_4
56,add_edges_4
57,add_edges_5
58,add_edges_5
59,add_edges_3
60,add_edges_3
61,add_edges_3
62,add_edges_3
63,add_edges_4
64,remove_nodes_5
65,add_edges_1
66,remove_nodes_2
67,remove_edges_4
68,add_edges_5
69,remove_edges_3
70,add_nodes_4
71,add_edges_2
72,add_edges_3
73,add_nodes_4
74,add_nodes_1
75,add_edges_5
76,add_edges_5
77,add_nodes_5
78,add_edges_2
79,add_edges_5
80,add_nodes_5
81,add_nodes_4
82,add_edges_5
83,add_edges_2
84,add_nodes_4
85,add_edges_2
86,add_nodes_4
87,remove_edges_2
88,add_edges_4
89,add_edges_5
90,add_edges_3
91,add_edges_5
92,remove_edges_5
93,remove_edges_4
94,add_edges_5
95,add_edges_3
96,add_edges_5
97,add_edges_5
98,add_edges_4
99,add_edges_2
100,add_edges_4
101,add_edges_1
102,add_edges_1
103,add_edges_4
104,add_nodes_4
105,add_edges_1
106,add_edges_3
107,remove_edges_4
108,add_edges_5
109,remove_edges_4
110,add_edges_1
111,add_edges_5
112,add_nodes_2
113,add_edges_4
114,add_nodes_3
115,add_edges_5
116,add_edges_3
117,remove_edges_4
118,remove_edges_4
119,remove_edges_3
120,add_nodes_1
121,add_edges_2
122,add_edges_4
123,add_edges_5
124,add_edges_5
125,add_edges_1
126,remove_edges_1
127,add_edges_4
128,add_nodes_3
129,add_edges_5
130,add_edges_5
131,add_edges_5
132,add_edges_5
133,add_edges_4
134,add_edges_5
135,add_edges_5
136,add_edges_5
137,add_edges_4
138,remove_nodes_1
139,add_edges_5
140,remove_edges_1
141,add_edges_3
142,add_nodes_2
143,add_edges_3
144,add_nodes_3
145,add_edges_5
146,add_edges_4
147,add_nodes_5
148,add_edges_3
149,add_edges_2
150,add_edges_4
151,add_edges_5
152,add_edges_3
153,add_edges_5
154,add_edges_5
155,remove_edges_5
156,add_edges_1
157,add_edges_4
158,add_edges_2
159,add_nodes_5
160,add_edges_4
161,add_edges_1
162,add_nodes_2
163,add_edges_4
164,add_edges_3
165,add_edges_3
166,add_nodes_1
167,add_nodes_3
168,add_edges_3
169,add_edges_5
170,add_edges_4
171,add_nodes_4
172,add_edges_3
173,add_edges_4
174,add_nodes_5
175,add_edges_5
176,remove_edges_5
177,add_edges_4
178,add_nodes_5
179,add_edges_5
180,add_nodes_4
181,add_edges_2
182,remove_edges_3
183,add_nodes_2
184,add_edges_2
185,add_nodes_4
186,add_edges_4
187,add_nodes_4
188,add_edges_4
189,add_edges_5
190,add_edges_3
191,add_edges_3
192,add_edges_4
193,add_edges_4
194,remove_edges_3
195,add_nodes_3
196,add_edges_1
197,add_edges_2
198,add_edges_5
199,add_edges_2
200,add_edges_5
201,add_nodes_3
202,remove_edges_2
203,remove_edges_4
204,add_edges_4
205,add_edges_5
206,add_edges_1
207,add_nodes_4
208,add_nodes_5
209,add_edges_4
210,add_nodes_4
211,add_nodes_5
212,add_edges_3
213,add_edges_4
214,add_edges_1
215,add_edges_4
216,add_nodes_1
217,add_edges_4
218,add_edges_3
219,add_edges_5
220,add_edges_4
221,add_edges_3
222,add_edges_4
223,add_edges_5
224,add_edges_3
225,add_edges_4
226,add_edges_4
227,add_nodes_4
228,add_edges_5
229,remove_edges_2
230,add_nodes_1
231,add_nodes_2
232,add_edges_3
233,add_nodes_1
234,remove_edges_3
235,add_edges_5
236,add_edges_5
237,add_nodes_1
238,add_edges_5
239,add_edges_4
240,add_edges_5
241,add_edges_2
242,add_edges_2
243,add_edges_2
244,add_nodes_5
245,add_edges_4
246,remove_edges_2
247,add_nodes_2
248,add_edges_4
249,add_nodes_2
250,add_edges_3
251,add_edges_1
252,add_edges_5
253,add_edges_4
254,add_edges_2
255,add_edges_3
256,add_edges_3
257,add_edges_5
258,add_nodes_4
259,add_edges_5
260,add_edges_5
261,add_edges_3
262,add_edges_5
263,add_edges_5
264,add_edges_5
265,add_nodes_5
266,add_edges_4
267,remove_edges_5
268,remove_edges_3
269,remove_edges_3
270,remove_edges_4
271,remove_edges_5
272,add_edges_2
273,add_edges_5
274,add_edges_3
275,add_edges_4
276,add_edges_5
277,add_edges_5
278,add_edges_5
279,add_edges_4
280,add_edges_3
281,add_edges_2
282,add_edges_5
283,add_edges_3
284,add_edges_4
285,add_edges_2
286,add_edges_4
287,add_edges_4
288,add_edges_4
289,add_edges_4
290,add_edges_3
291,remove_edges_3
292,add_edges_4
293,add_edges_3
294,add_nodes_4
295,add_edges_2
296,add_nodes_5
297,remove_edges_2
298,add_edges_4
299,add_edges_4
300,add_edges_5
301,add_edges_5
302,add_edges_4
303,add_edges_4
304,add_nodes_5
305,add_edges_3
306,add_edges_5
307,add_nodes_4
308,remove_edges_2
309,remove_edges_4
310,add_edges_5
311,add_edges_3
312,add_edges_4
313,add_edges_4
314,add_edges_5
315,add_nodes_4
316,add_edges_5
317,add_edges_5
318,add_edges_3
319,add_edges_4
320,add_edges_4
321,add_edges_5
322,add_edges_1
323,remove_edges_5
324,add_edges_5
325,add_edges_3
326,remove_edges_1
327,add_edges_3
328,add_edges_4
329,add_edges_3
330,add_edges_2
331,add_edges_4
332,add_edges_2
333,add_edges_5
334,add_edges_5
335,add_edges_3
336,add_edges_5
337,add_edges_4
338,add_nodes_4
339,add_nodes_4
340,add_edges_5
341,add_nodes_5
342,add_nodes_4
343,add_edges_5
344,add_nodes_1
345,add_edges_4
346,add_edges_4
347,remove_edges_2
348,add_edges_5
349,add_edges_4
350,add_edges_3
351,add_edges_5
352,add_edges_1
353,add_edges_2
354,add_edges_4
355,add_nodes_2
356,add_edges_2
357,add_edges_5
358,add_edges_5
