Generation,mutation_op
0,add_edges_4
1,add_nodes_5
2,add_edges_3
3,add_nodes_2
4,add_edges_3
5,add_edges_5
6,add_edges_4
7,add_edges_3
8,add_edges_5
9,add_edges_5
10,add_edges_5
11,add_edges_5
12,add_edges_3
13,remove_edges_5
14,add_nodes_1
15,add_edges_2
16,add_edges_4
17,add_edges_2
18,add_edges_2
19,add_edges_2
20,remove_nodes_3
21,add_edges_4
22,remove_nodes_4
23,add_edges_4
24,add_edges_5
25,add_edges_4
26,remove_nodes_1
27,add_nodes_5
28,add_nodes_2
29,remove_edges_2
30,remove_nodes_1
31,add_edges_4
32,add_nodes_4
33,add_edges_5
34,add_edges_5
35,add_edges_4
36,add_edges_3
37,add_edges_5
38,add_nodes_1
39,add_edges_4
40,add_edges_4
41,add_edges_4
42,add_edges_3
43,add_nodes_2
44,add_edges_5
45,add_nodes_4
46,remove_edges_3
47,add_edges_5
48,add_edges_5
49,remove_edges_2
50,add_edges_4
51,add_edges_3
52,remove_edges_2
53,add_edges_5
54,add_nodes_5
55,add_edges_2
56,add_nodes_5
57,add_edges_2
58,add_edges_2
59,add_edges_5
60,add_edges_4
61,remove_edges_1
62,remove_nodes_2
63,add_nodes_4
64,add_edges_5
65,add_nodes_1
66,add_edges_4
67,add_edges_1
68,add_edges_4
69,add_nodes_5
70,add_edges_3
71,add_edges_5
72,remove_edges_1
73,add_nodes_4
74,add_nodes_5
75,add_edges_2
76,add_nodes_1
77,add_edges_2
78,add_edges_3
79,add_nodes_4
80,add_nodes_4
81,add_edges_4
82,add_nodes_4
83,add_nodes_4
84,add_edges_5
85,remove_edges_2
86,add_edges_5
87,add_nodes_1
88,add_nodes_3
89,add_edges_3
90,add_edges_5
91,add_nodes_2
92,add_nodes_1
93,add_nodes_5
94,add_edges_5
95,add_edges_3
96,remove_edges_4
97,add_edges_4
98,add_nodes_3
99,add_edges_5
100,add_nodes_5
101,add_edges_5
102,add_edges_5
103,add_edges_5
104,add_edges_5
105,remove_edges_5
106,add_nodes_1
107,add_edges_5
108,add_edges_1
109,add_edges_2
110,add_nodes_5
111,add_edges_4
112,remove_edges_1
113,add_edges_5
114,remove_edges_4
115,add_nodes_2
116,remove_edges_4
117,remove_edges_2
118,add_nodes_4
119,add_nodes_1
120,add_edges_5
121,remove_edges_1
122,add_edges_1
123,add_edges_4
124,add_edges_2
125,add_nodes_3
126,remove_edges_1
127,add_edges_5
128,add_nodes_2
129,add_nodes_3
130,add_nodes_5
131,remove_edges_3
132,add_nodes_2
